"logFC","AveExpr","t","P.Value","adj.P.Val","B","external_gene_name"
-0.382713628199369,17.5386419504611,-7.35824453428783,6.66205106520128e-06,0.000289835038815101,3.99813709500554,"CYP51A1"
-0.475308683238801,16.9780833712979,-7.34123308577374,6.82381542174974e-06,0.000293714438259569,3.97341205840263,"GABARAPL2"
0.641040624701294,15.096312656462,7.31933905797976,7.03817848347769e-06,0.00029975231730685,3.94153391035534,"DACH1"
-0.339691902605349,18.7044185940754,-7.30858693614073,7.14606180039451e-06,0.000301176729629127,3.92585524717756,"WDR1"
1.18196676462362,14.7998142940239,7.2584068525595,7.67331068808508e-06,0.000316975505669298,3.85247911930474,"RGS10"
0.434953764351526,16.4639649569139,7.25097450247053,7.75485343574764e-06,0.000316975505669298,3.84158251202544,"CLIC1"
-0.57651177042559,15.874354182042,-7.25087509049966,7.755950336446e-06,0.000316975505669298,3.84143671351268,"TMEM35A"
1.53160212576154,13.8840723994647,7.16944129240877,8.71233751798277e-06,0.000352501175977583,3.72155982045574,"ESRRB"
-0.46585288034948,17.3172436919233,-7.11211904111786,9.46023917184053e-06,0.000376433738209668,3.63664160281496,"PITHD1"
-0.372559857765843,16.558416499523,-7.1099440690632,9.48992617335298e-06,0.000376433738209668,3.63341081820111,"PLPPR3"
-0.429842812283558,15.4185381921349,-7.08354442173096,9.8582574785244e-06,0.000386556343060007,3.59414472977603,"ISLR2"
-0.82356880218912,14.2928837181013,-7.07809241103306,9.93619863525475e-06,0.000386556343060007,3.58602379773193,"GRAMD1A"
-0.625302430924101,14.617415052704,-7.06978106278614,1.00562778817188e-05,0.000387501907708898,3.57363603953352,"MRAS"
-0.746491256820136,14.5163105803108,-7.0532189298824,1.03001791632727e-05,0.000390764375082034,3.54892283249206,"VAT1L"
-0.389195697300639,16.6360777212186,-7.05094823618358,1.03341048279233e-05,0.000390764375082034,3.54553170997226,"DNAJC6"
0.585558027618085,14.2475026407367,7.02638750708599,1.07087324792244e-05,0.000398017249154636,3.50880717668987,"CEMIP2"
-0.403113033818075,16.1424811874387,-7.02549211400134,1.0722659455723e-05,0.000398017249154636,3.50746678592709,"ARL2"
-0.296174215765802,17.7222125811372,-7.00594734307118,1.10314985034192e-05,0.000405758572225765,3.47818133682424,"SUCLG1"
0.449912011450969,15.3666730031544,6.9849409383011,1.13739869008837e-05,0.000414586945954735,3.44664774736415,"MAB21L1"
-0.377391848379556,17.6053173007739,-6.96423591036997,1.17226229912889e-05,0.000423479755560312,3.41550762053044,"SUCLA2"
-0.557660863163891,15.6431745921434,-6.95466311574943,1.18876290393776e-05,0.000425640239763908,3.40109044055105,"SLC8A1"
0.461412588835914,15.9026425888771,6.94508040911319,1.20552763159437e-05,0.000427856561178142,3.38664577835781,"RETREG3"
-0.386254485278,15.8288461769564,-6.93197697453393,1.22885895424282e-05,0.000432344637292735,3.36687373975199,"ITFG1"
-0.477267431978175,15.8509530627642,-6.87677578042965,1.33253763395235e-05,0.000464779936807862,3.28332105381465,"TBCD"
-0.398564353805748,15.7618872190653,-6.85865062139808,1.36857225933753e-05,0.000471193175546972,3.25579548434109,"CAPN2"
-0.336108701902024,17.843520527549,-6.85131371142067,1.38345134000014e-05,0.000471193175546972,3.24464051715539,"ATP9A"
0.777226508352543,14.1709117428611,6.85013275318485,1.38586228102051e-05,0.000471193175546972,3.24284430728009,"IPO13"
-0.543343786730015,15.5208805296885,-6.83070780878945,1.42616448702046e-05,0.000480074790585126,3.21327185578737,"OPCML"
-0.340960428287371,17.267754938866,-6.82618969634439,1.43571551311914e-05,0.000480074790585126,3.20638604742731,"DHCR7"
-0.798767580818975,14.3534524939852,-6.71083854868891,1.70401610597232e-05,0.000565118783997051,3.0296304536872,"NCAM2"
-0.308681825920033,17.9899567679585,-6.63427844142432,1.91109349922026e-05,0.000628640999824812,2.91129681738654,"CKMT1A"
-0.345041325090429,16.1117525937064,-6.62643177527936,1.93377541805898e-05,0.000630972204956985,2.89912270313491,"MVP"
0.704411687311945,15.2011687852246,6.60189243540766,2.00656895712826e-05,0.000649486240043275,2.86099450960439,"BAIAP2"
1.19274850572137,18.5967621682828,6.57940202812629,2.07583609652343e-05,0.00066657403543919,2.82597610824439,"STMN1"
-0.423318108566596,14.8476858921135,-6.56893143343813,2.10894373878402e-05,0.000671865492711039,2.80964891813398,"SRGAP1"
0.577122518062668,14.2968345249184,6.5637523669005,2.12552602736068e-05,0.000671865492711039,2.8015673467587,"UFL1"
-0.344799473574295,16.0903162059649,-6.53324439033124,2.22604994637324e-05,0.000698185897909003,2.75388571660779,"CLCN6"
